17201,石川県金沢市,44,金沢市立額中学校,石川県金沢市額乙丸町イ1,1,1,,1,1,,,,1,36.5107,136.622989,
17201,石川県金沢市,45,金沢市立額小学校,石川県金沢市額乙丸町イ55,1,1,,1,1,,,,1,36.51030313,136.621582,
17201,石川県金沢市,46,額乙丸児童公園,石川県金沢市額乙丸町ハ151,,1,,1,1,,,,,36.51061241,136.6181899,
17201,石川県金沢市,47,額新町１丁目緑地,石川県金沢市額新町1-183,,1,,1,1,,,,,36.51935487,136.6214188,
17201,石川県金沢市,48,額新町第２公園,石川県金沢市額新町1-217,,1,,1,1,,,,,36.51905648,136.6236878,
17201,石川県金沢市,49,あすなろ公園,石川県金沢市額新町1-26,,1,,1,1,,,,,36.51809064,136.620223,
17201,石川県金沢市,50,額新町２丁目緑地,石川県金沢市額新町2-49,,1,,1,1,,,,,36.51632765,136.6198569,
17201,石川県金沢市,51,額新町第３児童公園,石川県金沢市額新町2-77-1,,1,,1,1,,,,,36.51714833,136.6204257,
17201,石川県金沢市,52,額新保中央公園,石川県金沢市額新保2-350,,1,,1,1,,,,,36.51636187,136.6163309,
17201,石川県金沢市,53,額せせらぎ公園,石川県金沢市額谷1-1,1,1,,1,1,,,,,36.51193589,136.6256056,
17201,石川県金沢市,54,額谷第１児童公園,石川県金沢市額谷2-49,1,1,,1,1,,,,,36.50859,136.62611,
17201,石川県金沢市,55,金沢市額公民館,石川県金沢市額谷3-1-1,1,1,,1,1,,,,1,36.51088342,136.6241778,
17201,石川県金沢市,56,金沢市老人福祉センター鶴寿園,石川県金沢市額谷町ヌ1,1,1,,1,1,,,,1,36.50981237,136.6294954,
17201,石川県金沢市,57,額谷ふれあい公園,石川県金沢市額谷町ヌ16,,,,1,1,,,,1,36.50875738,136.6301444,
17201,石川県金沢市,58,金沢市額谷ふれあい体育館,石川県金沢市額谷町ヌ16,1,,,1,1,,,,1,36.509409,136.629936,
17201,石川県金沢市,59,金沢市営額谷運動広場,石川県金沢市額谷町ホ2-3,,,,1,1,,,,,36.50911708,136.6291085,
17201,石川県金沢市,60,笠舞第３児童公園,石川県金沢市笠舞1-234,1,1,,1,1,,,,,36.54790797,136.6753552,
17201,石川県金沢市,61,笠舞第２児童公園,石川県金沢市笠舞1-414,1,1,,1,1,,,,,36.549432034374,136.67320552301,
17201,石川県金沢市,62,割出町公園,石川県金沢市割出町418,,1,,1,1,,,,,36.60257221,136.6399427,
17201,石川県金沢市,63,金沢市立大徳中学校,石川県金沢市観音堂町ト35,1,1,,1,1,,,,1,36.590106,136.607238,
